date,priceUSD
1650758400,0
1650067200,0
1649980800,0
1649808000,0
1649635200,0
1649462400,0
1648944000,0
1648857600,0
1648771200,0
1648684800,0
1648598400,0
1648425600,0
1648166400,0
1647907200,0
1647820800,0
1647561600,0
1647475200,0
1647302400,0
1647216000,0
1647129600,0
1647043200,0
1646870400,0
1646697600,0
1646611200,0
1646352000,0
1646006400,0
1645920000,0
1645833600,0
1645142400,0
1644969600,0
1644710400,0
1644105600,0
1643673600,0
1643328000,0
1643155200,0
1642636800,0
1642204800,0
1641772800,0
1641254400,0
1641081600,0
1640908800,0
1640822400,0
1640736000,0
1640563200,0
1640304000,0
1640044800,0
1639872000,0
1639699200,0
1639612800,0
1639526400,0
1639440000,0
1639094400,0
1638144000,0
1637798400,0
1637020800,0
1636848000,0
1636761600,0
1636502400,0
1636329600,0
1636156800,0
1635984000,0
1635811200,0
1635552000,0
1635465600,0
1634860800,0
1634774400,0
1634515200,0
1634428800,0
1634342400,0
1633392000,0
1633219200,0
1633132800,0
1633046400,0
1632960000,0
1632873600,0
1632700800,0
1632355200,0
1632096000,0
1631923200,0
1631836800,0
1631750400,0
1631664000,0
1631491200,0
1631404800,0
1631318400,0
1631232000,0
1630972800,0
1630800000,0
1630540800,0
1630368000,0
1630281600,0
1630108800,0
1630022400,0
1629936000,0
1629763200,0
1629676800,0
1629590400,0
1629504000,0
1629417600,0
1629331200,0
1629244800,0
1629158400,0
1628985600,0
1628899200,0
1628726400,0
1628640000,0
1628553600,0
1628380800,0
1628294400,0
1628208000,0
1628121600,0
1627948800,0
1627862400,0
1627689600,0
1627603200,0
1627516800,0
1627430400,0
1627344000,0
1627171200,0
1627084800,0
1626998400,0
1626912000,0
1626825600,0
1626739200,0
1626566400,0
1626393600,0
1626307200,0
1626134400,0
1626048000,0
1625961600,0
1625788800,0
1625702400,0
1625616000,0
1625529600,0
1625443200,0
1625356800,0
1625097600,0
1625011200,0
1624924800,0
1624838400,0
1624665600,0
1624579200,0
1624492800,0
1624406400,0
1624320000,0
1624233600,0
1624147200,0
1624060800,0
1623974400,0
1623888000,0
1623801600,0
1623715200,0
1623628800,0
1623542400,0
1623456000,0
1623369600,0
1623283200,0
1622937600,0
1622851200,0
