date,priceUSD
1651104000,8.264938120564666817459638647140855
1651017600,8.197555943426339677795065301255274
1650931200,7.986672708013754941821236776382732
1650844800,8.724351981133183947940194419803703
1650758400,8.757087273118935322217393099247961
1650672000,8.949501856729382239473072198732921
1650585600,8.886463987786461320800689741976349
1650499200,8.824112562918020363023426311528621
1650412800,9.3211774329089100633974276901118
1650326400,9.517152580051366843181322322012709
1650240000,9.36770175528229979729706078971682
1650153600,9.255476854199396956643885714680976
1650067200,9.663109927396782855393731066210047
1649980800,9.733328868420121479298126881927553
1649894400,9.473591882212569264090133020186914
1649808000,9.664996158758952907454086257295129
1649721600,9.273025480764240244382068646868967
1649635200,9.009234073987899949754771839220016
1649548800,9.94845087036504727054068157470442
1649462400,9.996976479953242211144726447084529
1649376000,9.691867579081203592029839591950339
1649289600,10.50723583891380733443040191279317
1649203200,9.973288053792223548739695148181945
1649116800,11.19696451720259979228795671318901
1649030400,11.53050211415127091628994118803879
1648944000,11.86591737591148607966076118663148
1648857600,11.68613811361417258899530149935666
1648771200,11.58756266880283804023505114643955
1648684800,11.23109652887304906642340543582089
1648598400,11.70996622342021796591825567925275
1648512000,11.19935038293270922134701837035013
1648425600,10.88754662975085922738449287913933
1648339200,11.37403809589875733132618411621743
1648252800,10.59851970464175674651124983617174
1648166400,10.61640287897507280603962082284105
1648080000,10.75621094855548600122222316880621
1647993600,9.905020262867856792134405175034956
1647907200,9.741167667561848375465420409612564
1647820800,9.318240202518904742650515573589054
1647734400,9.342844212411163675277573159591776
1647648000,9.632464741145876427513553308677837
1647561600,9.65489107088581242818667514401542
1647475200,9.222630964117889459674932157303172
1647388800,9.01265355283991255385674488664081
1647302400,8.683598071630313538613705988179737
1647216000,8.46817459163596963502746938230408
1647129600,8.179248776985362444646507093676747
1647043200,8.502805711821773435082911659519087
1646956800,8.593293510091450332774834814392369
1646870400,8.696928879085779303034261230651773
1646784000,9.124343293590972987556550981796995
1646697600,8.827574067329070034258433889532723
1646611200,8.36455421055802069434286456378078
1646524800,8.475414223894396729534899265608775
1646438400,9.015599568992612937809919942789852
1646352000,8.785986348892333208766513860601798
1646265600,9.582971020037079555109399869319246
1646179200,10.11217098740732078440020064621502
1646092800,10.29199635507238013665972825597467
1646006400,10.45054589932911036651528420772678
1645920000,9.752537114209579856340190838490816
1645833600,9.007048345207332610555494546480004
1645747200,9.228669632151827088250613157299349
1645660800,8.783846153187592487274127628644359
1645574400,8.809118330876407841520185271315694
1645488000,8.862524908945852869783491619311273
1645401600,8.579946009571888363748829637181311
1645315200,9.412691457765465523047811481704757
1645228800,9.98133371974851304731142368136626
1645142400,10.130244105708565917195670497554
1645056000,10.35536146376844136813018290595519
1644969600,11.32428931773532334478521269280181
1644883200,11.34218569265100709622789370584683
1644796800,10.61208538209715718265919911877025
1644710400,10.38407830857073513535597186764701
1644624000,10.62651219190264476165780305156231
1644537600,10.64069474724606825595731870082086
1644451200,11.49076619694797425502977995845513
1644364800,12.32489642247672202910500239648662
1644278400,11.91818404145780450388959435073984
1644192000,12.39669739993064588405005155272289
1644105600,11.6663244319756360578719348628928
1644019200,11.29274029195160763214971206861877
1643932800,11.02393071194816880567046417504206
1643846400,10.35698510258058272430671690975182
1643760000,10.53925045548811269621805369867839
1643673600,11.16082709706406649238301904964856
1643587200,11.8092771766157990962773377815109
1643500800,10.85085290237437609978638142616079
1643414400,11.07677098839805000332993783963382
1643328000,10.5236103675302508721847994507975
1643241600,10.26186353297716381873350958759551
1643155200,10.37225070019532970499678018965524
1643068800,10.54639072216951851106031372082031
1642982400,10.61219549697734193286765925367881
1642896000,11.44277728025082266167166966394097
1642809600,11.11718936411115625360179783620219
1642723200,12.57329173073163692373789399667572
1642636800,14.43237185502451296999268728321069
1642550400,15.23655830532044148771702393076191
1642464000,16.0760351157606465449612627730075
1642377600,16.6164902706323202319603886554273
1642291200,17.83007528317810624720405781555252
1642204800,16.45996410695779290238638605482836
1642118400,15.83406420709677094554900775271716
1642032000,15.50668221490968015745592925054041
1641945600,16.24185059589588722598694694524074
1641859200,15.91624741629578634002910282829907
1641772800,15.18240758489524380785073967428329
1641686400,15.91552186985664023019606471755625
1641600000,14.99002343065837052613892662109201
1641513600,15.7445349410370909204507213660279
1641427200,17.15584413220402236609062300732005
1641340800,17.2674509661014251336415849703208
1641254400,18.29597528744612998430952099118937
1641168000,18.47401410641505997166179026433731
1641081600,18.33922058930018237176938488193557
1640995200,17.37774435711614501962842484028527
1640908800,17.0373204509345703947745934752991
1640822400,17.75429039237589436815821227686906
1640736000,17.0106079214274560173453888702642
1640649600,18.51023175351415908214129720446617
1640563200,19.16361202020827653458109448957969
1640476800,18.60037503289969558614180330665362
1640390400,17.45105009492922334101672656607016
1640304000,17.4123337711576090519073975836525
1640217600,18.190665763565882162551956426553
1640131200,16.29755400264585530301474106788405
1640044800,15.07522329004817144501907540573059
1639958400,14.52018634006155682669521045063066
1639872000,15.00786480063081408529390662899295
1639785600,15.63018106331827411501214234234414
1639699200,15.00684297465625546077277523173441
1639612800,14.4630057356845521594175359224088
1639526400,15.24563745495658503721191372722341
1639440000,14.92649278024356070168914284617447
1639353600,14.16501952983961479075750074194646
1639267200,16.08864013259988016450085184335486
1639180800,15.89800464166320232424152877190549
1639094400,15.18681274774417957226712181415399
1639008000,16.39544390378799161384064349093694
1638921600,18.58855214145063728233781607066323
1638835200,17.11641081113248867522564990445096
1638748800,17.35745210221386351279008216766243
1638662400,16.49320080744240921853888208840312
1638576000,17.15297363983752135527410727681923
1638489600,20.10123805350820300779657524114287
