date,priceUSD
1650758400,3573.772221780901208513812518491779
1650672000,3559.677250995437955300853190038408
1650585600,3598.408275172404514543097320966382
1650499200,3657.861397944136014904506028765407
1650412800,3742.634273835400807434371228760157
1650326400,3730.503551468439661266038698775298
1650240000,3758.761257097403116267557930123882
1650153600,3749.763292798371255006264080847537
1650067200,3759.598991072164188826001293970432
1649980800,3739.475054920340593888119551785894
1649894400,3765.433586190996580588485176360494
1649808000,3956.421191451719568687914859321142
1649721600,3903.511662132719113769923904352108
1649635200,3925.390951804642143841676296423778
1649548800,4197.868881672547885823456660194431
1649462400,4271.191159670548519666647083467133
1649376000,4267.80916120530370216133538649413
1649289600,4253.579450901613223953085865999227
1649203200,4312.12632609468849027286609519607
1649116800,4648.317868395107881176078128312835
1649030400,4880.192847394876570865931709829782
1648944000,4936.292365804793701891528328021576
1648857600,4893.590022079058606285660142297819
1648771200,4868.248487417840343531411258729398
1648684800,4711.648897382398883600902088874633
1648598400,4858.965229108385442938108202849971
1648512000,4968.703755004089686906318541412495
1648425600,4931.173256899545892351149152451582
1648339200,4685.99416032372311535438454517012
1648252800,4571.317278382452895826422672720951
1648166400,4543.577973930743539431353143283754
1648080000,4548.086739193968131908353410997316
1647993600,4377.231764129800942332287134384477
1647907200,4342.051358998186002062859440340708
1647820800,4181.310357504715140367591729927074
1647734400,4283.630235177894253868260026759356
1647648000,4420.481014160283594610328660326914
1647561600,4474.045152011491006254691857842284
1647475200,4287.867278024516267207907239911901
1647388800,4111.371639375884341788547676655571
1647302400,4130.469216294146305585051674528313
1647216000,4082.01126320992563299641987854514
1647129600,4236.16286328320737212926810228006
1647043200,4256.220424613115587310905987950417
1646956800,4248.640572265529037905204103837078
1646870400,4172.388820302043765000952284249622
1646784000,4224.64678511046520647079576019516
1646697600,4160.515948211453604884793143224367
1646611200,3949.46883406410623514536918065237
1646524800,4298.819532545457212191656337745671
1646438400,4363.751454537539283136516971498738
1646352000,4177.903622178134721608777125643338
1646265600,4605.548414477149650412422638095221
1646179200,4620.12546037509229015880699866986
1646092800,4495.998109418949701537174650218112
1646006400,4055.091314174619026453983581164294
1645920000,5124.571101747581499907727490081629
1645833600,4384.630652917986855172364485483232
1645747200,3448.630475433193775415336396530211
1645660800,8491.703088493966519776171268518655
1645574400,9061.075441695069416666081193746613
1645488000,9082.578856497377176041989280300399
1645401600,9004.844515950112987709514945531447
1645315200,9325.857498121123020936972136460882
1645228800,9845.22356239018370530741147855956
1645142400,10034.38267079408706164851340216983
1645056000,10599.77928510707309927600321601845
1644969600,11526.89272635187261294511913327863
1644883200,11430.92841020591344152359592527518
1644796800,10884.33221346237383597868865937646
1644710400,10735.68587082629234240300159949363
1644624000,10880.24298927061024679914908977365
1644537600,10963.69615723624726225758382133836
