,token0,token1,reserveUSD,pairAddress,aprs
0,USDC,WETH,275861787.9978374,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0.2363028847851968
1,WISE,WETH,228734302.7492792,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0.0021946396342875842
2,FEI,TRIBE,173903306.0341324,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,0.0
3,WETH,USDT,141046605.4620006,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0.2672012830449406
4,FXS,FRAX,137591753.78526223,0xe1573b9d29e2183b1af0e743dc2754979a40d237,0.0
5,DAI,USDC,94583260.27551712,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,0.013932462947322132
6,TOKE,WETH,72525115.3251477,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,0.041104616114568455
7,MC,WETH,52781178.118850976,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0.08259055112345023
8,HANU,MIA,44980101.722637035,0x48918f57fa7210ea7b20f23da8420e68df3578fe,
9,UNI,WETH,35055809.7240971,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.05762936035646232
10,USDC,USDT,33433420.971129123,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0.0428297587387349
11,WBTC,WETH,30883580.093169585,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0.04665285161329538
12,FNK,USDT,29783537.976215366,0x61b62c5d56ccd158a38367ef2f539668a06356ab,0.031790636334200345
13,PAXG,WETH,29439810.172829088,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,0.0626155054218364
14,WETH,FOX,26460608.418519933,0x470e8de2ebaef52014a47cb5e6af86884947f08c,0.045800922937030294
15,ELON,WETH,24662820.587199494,0x7b73644935b8e68019ac6356c40661e1bc315860,0.5916673136048382
16,DAI,WETH,24388495.7417372,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0.1757827335440612
17,XXi,WETH,22782109.03689841,0x0af81cd5d9c124b4859d65697a4cd10ee223746a,0.006707079178422012
18,ASTO,USDC,19959797.167707294,0x11181bd3baf5ce2a478e98361985d42625de35d1,0.013530385850190112
19,WETH,SUPER,19055416.374038126,0x25647e01bd0967c1b9599fa3521939871d1d0888,0.17588601544666238
20,FRAX,AMP,18866439.6255056,0xab400c46c830a2f87939dcfdcbfaaadf76f35721,0.0
21,WAXE,WETH,15333970.160328936,0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd,0.043642101153625504
22,SHINJA,WETH,15119978.981903529,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,0.08903749935693044
23,SYN,FRAX,14862092.195814095,0x9fae36a18ef8ac2b43186ade5e2b07403dc742b1,0.0
24,FLX,WETH,14525828.603479853,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,0.06753210942583929
25,XMON,WETH,13293925.115484867,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,0.1877941778893988
26,UFO,WETH,12396480.50626848,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,0.293435252163363
27,WETH,RLY,12018150.956521332,0x27fd0857f0ef224097001e87e61026e39e1b04d1,0.05814757814378222
28,WETH,BTT,12015385.36001578,0x2d0ba902badaa82592f0e1c04c71d66cea21d921,0.001485230842223202
29,BOND,USDC,11943146.55421329,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,0.11424665533293492
30,TERA,WETH,11883431.575218031,0x2b788a7b1a0ee0da8cb1d2769825198d9c95d19d,0.01756548450993119
31,10SET,WETH,11724878.561295377,0x5f6fbe81171d0f52cc58d6a2ac6ee1a9e52d18d2,0.12206009157246228
32,SAITAMA,WETH,11043780.621617364,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,0.6968669300009995
33,STARL,WETH,9600033.850400431,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,0.6337649240998358
34,WETH,CULT,9564417.348043583,0x5281e311734869c64ca60ef047fd87759397efe6,0.2333811428210175
35,HIGH,WETH,8872997.732643532,0x3854612b93b140726167cca5418b01e832515d42,0.11120347047212036
36,USDC,CAW,8564220.90589615,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,0.045618559917427914
