,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,208531162.205631,75530.83798771353,2.5829768890533282,416586929.8012984,106445840.112174,38916.40011643317,106411948.99553034,10076,0.9988601353271728,2757.8009255758457,106324506.25946072,107323684.26117934,319235.846986591,2.40045937225389e-09,0.0007663126808583711,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,2.40045937225389e-09,0.0007663126808583711,0.000985490763050166,0.000985490763050166
363,1619740800,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,206956620.218795,74722.91447661952,2.5577738823745335,414143414.6179075,88397391.989497,32068.3919245278,88387766.3010056,9233,1.0005560928180848,2771.787375074326,88446549.14431979,88886763.87534162,265163.29890301684,2.4146224827035074e-09,0.0014065819439774258,0.9966433215317781,-1.4131518032423074e-06,4.1095890410958905e-05,0.0005206834302871055,2.416472838531489e-09,0.001407072590432918,0.0018861694838535725,0.0018866601303090646
362,1619827200,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,213367876.5041,72486.9478630479,2.555749570687213,426574511.9539221,119766255.169008,41641.57936011876,119808074.47332703,8781,0.9996221524605304,2942.415109937576,119721001.78418091,122526812.31087813,359424.2234199811,2.3442563303173126e-09,0.0022491644549991006,0.9379726218642299,-0.0005123336060399719,4.1095890410958905e-05,0.0007812284435796402,2.3475548691446508e-09,0.0022508406762110295,0.0029892970081677817,0.0029909732293797106
361,1619913600,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,214555572.728287,72748.73670566326,2.5656361412467903,428854903.4787675,102036170.570714,34810.14376125589,102051479.31818213,9550,0.9992444597323462,2947.0404169472176,101959078.13509063,102586900.58416414,306154.43795454636,2.3317909901186656e-09,0.0029630526150063556,0.9361466539179941,-0.0005439750288326328,4.1095890410958905e-05,0.0010419090830434685,2.3370394801276466e-09,0.002966335684727094,0.003963865807638865,0.003967148877359604
360,1620000000,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,227992455.110094,66576.36070394775,2.5264687089229345,456144316.6391208,210007314.345951,65666.99183666278,209959637.44792727,10711,1.0003495870485184,3425.722822756164,210080730.18314046,224956912.6365984,629878.9123437818,2.1922886321768015e-09,0.004343928994185516,0.8062278728532983,-0.005771152356004672,4.1095890410958905e-05,0.0013027254192784499,2.198791696177649e-09,0.004351308206786011,0.005605558523053007,0.005612937735653502
359,1620086400,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,217607980.297304,67032.36168843825,2.4712403962497302,435038542.48381287,327857428.22109,98353.80466475998,327855318.49088424,11972,0.9995923446590684,3244.9815821590846,327723775.3894116,319156284.6724184,983565.9554726528,2.298646906755873e-09,0.006604799835323114,0.8504894242432003,-0.0032692724277938456,4.1095890410958905e-05,0.001563677522921414,2.3086490279057436e-09,0.006622016793769135,0.00812738146783357,0.008144598426279591
358,1620172800,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,215366571.97943,61211.865831792304,2.3460035196987055,430576977.0383416,209750640.407975,62683.586174532335,209864806.6440224,9996,0.999637439276014,3518.206256000764,209674593.06393215,220533785.02780265,629594.4199320673,2.322465095273668e-09,0.008067010899794412,0.7844756164243517,-0.007320388159992253,4.1095890410958905e-05,0.0018247654646456057,2.337844498137513e-09,0.008093910644465397,0.00985068047402906,0.009877580218700045
357,1620259200,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,191786688.710617,54836.49828476415,2.093542129029118,383429550.3332798,116809185.342121,33517.482883503566,116768890.83506192,6854,0.9996250337056206,3496.1161999898522,116765385.8347438,117181014.8918994,350306.67250518576,2.6080410316074823e-09,0.008980625075333822,0.789422494097035,-0.006948316770715279,4.1095890410958905e-05,0.002085989315161463,2.629150282674412e-09,0.009014919531505138,0.011025518500084326,0.011059812956255643
356,1620345600,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,181806570.586949,52256.941756066786,1.988426856162576,363836139.2016232,83850508.232115,24146.167779298627,83823980.35675894,6097,1.0006132837416306,3481.118998654381,83901932.38554122,84055683.4012127,251471.9410702768,2.748490026841013e-09,0.009671793197395829,0.7936072505161904,-0.0066427672396257575,4.1095890410958905e-05,0.002347349145215949,2.7732674432661297e-09,0.009712318478570275,0.01197804645220082,0.012018571733375265
355,1620432000,USDC,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,184595894.347321,47262.04113836661,1.9035463351641648,369219799.74913144,119679537.464472,32250.997411532087,119756689.70988134,4647,1.0000758712824802,3906.092403713436,119688617.70446606,125975376.00136717,359270.069129644,2.708413797633431e-09,0.010644845209703272,0.7068848414197689,-0.014855111112464847,4.1095890410958905e-05,0.0026088450255929985,2.734718775007801e-09,0.010694821081917463,0.013212594344885312,0.013262570217099503
