,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
347,1619740800,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,44373634600.00133,9435.770653628178,20458491.467515446,103654846.12055165,5602963936.284501,1061.2871293236751,0,1064,0,21311.76211075821,0.0,22617898.831355646,0.0,9.647402291611043e-09,0.0,,,0.0010958904109589042,0.00026027397260275364,0.0,-0.0008356164383561506,-0.0008356164383561506
346,1619827200,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,44084283770.21657,9484.2710075041,20443840.28251892,109961592.84992698,257976855.69139916,55.34393907000188,0,253,0,19050.18194938076,0.0,1054312.1090789784,0.0,9.094084344201677e-09,0.0,,,0.0010958904109589042,0.0005206834302871055,0.0,-0.0005752069806717987,-0.0005752069806717987
345,1619913600,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,43816437608.07968,9528.739402076895,20429199.58985132,114519722.82496624,236373916.37446496,51.2817606407096,0,184,0,18783.102682744324,0.0,963230.5758663648,0.0,8.73212033117139e-09,0.0,,,0.0010958904109589042,0.0007812284435796402,0.0,-0.0003146619673792641,-0.0003146619673792641
344,1620000000,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,43546119806.17869,9574.360389649217,20414612.080007248,139566238.02944323,239288751.1731168,52.48122260718298,0,279,0,17266.695746118057,0.0,906177.3031425212,0.0,7.165056636326599e-09,0.0,,,0.0010958904109589042,0.0010419090830434685,0.0,-5.398132791543573e-05,-5.398132791543573e-05
343,1620086400,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,43331713189.336205,9621.879272575528,20414612.080008764,138963904.84098047,217068616.84248245,48.105472119954776,0,271,0,17806.606664406532,0.0,856595.2204456093,0.0,7.196113272322928e-09,0.0,,,0.0010958904109589042,0.0013027254192784499,0.0,0.00020683500831954562,0.00020683500831954562
342,1620172800,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,43168168994.62775,9644.592561684669,20399992.3494624,153790585.96026963,132513567.6856302,29.604115159645545,0,184,0,13176.560156741123,0.0,390080.4042881614,0.0,6.502348591469316e-09,0.0,,,0.0010958904109589042,0.001563677522921414,0.0,0.0004677871119625097,0.0004677871119625097
341,1620259200,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,43015498820.89733,9695.059660147246,20416951.960336912,155968970.79266065,202061719.2455468,45.46689134093583,0,187,0,15098.37260996362,0.0,686476.0668821777,0.0,6.411531697092255e-09,0.0,,,0.0010958904109589042,0.0018247654646456057,0.0,0.0007288750536867015,0.0007288750536867015
340,1620345600,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42890994803.89931,9709.368799290938,20402353.16189883,157877850.37316677,97253907.74767016,22.030520543082055,0,149,0,13275.405041455586,0.0,292464.08348352235,0.0,6.334010740812329e-09,0.0,,,0.0010958904109589042,0.002085989315161463,0.0,0.0009900989042025585,0.0009900989042025585
339,1620432000,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42615462853.16764,9758.343604601727,20387764.818273455,187799278.48600623,245233977.26314533,56.00113905619484,0,117,0,12991.061204745012,0.0,727514.2250144634,0.0,5.32483408914968e-09,0.0,,,0.0010958904109589042,0.002347349145215949,0.0,0.0012514587342570447,0.0012514587342570447
338,1620518400,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42482082731.14447,9775.087949699688,20373186.921973664,190418417.30934668,144939211.69934696,33.34263944094637,0,131,0,11761.08615748157,0.0,392145.6551828134,0.0,5.251592856038905e-09,0.0,,,0.0010958904109589042,0.0026088450255929985,0.0,0.0015129546146340942,0.0015129546146340942
337,1620604800,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42417122757.23381,9790.10314707102,20373186.921973664,194862477.2583643,64959973.91065272,15.0151973713341,0,58,0,14816.06304327588,0.0,222466.11086091632,0.0,5.13182432077018e-09,0.0,,,0.0010958904109589042,0.002870477027113183,0.0,0.0017745866161542787,0.0017745866161542787
336,1620691200,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42322206901.27598,9798.092179132544,20358619.46551769,206855567.11110967,85725829.49134746,19.853748004558216,0,42,0,15225.042329951024,0.0,302274.15377757954,0.0,4.834290969132407e-09,0.0,,,0.0010958904109589042,0.0031322452206341556,0.0,0.002036354809675251,0.002036354809675251
335,1620777600,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42187581121.81607,9815.38051661692,20344062.44142911,201993919.41165087,104356602.8021186,24.292512802056415,0,91,0,16152.531087791009,0.0,392385.5682357773,0.0,4.950644073409275e-09,0.0,,,0.0010958904109589042,0.0033941496770503177,0.0,0.002298259266091413,0.002298259266091413
334,1620864000,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42082222403.87488,9826.001026001235,20329515.842236876,189457041.04754615,161194930.28077036,37.61356637428248,0,113,0,15498.219235244616,0.0,582943.2978880547,0.0,5.27824141278043e-09,0.0,,,0.0010958904109589042,0.0036561904672932632,0.0,0.0025603000563343588,0.0025603000563343588
333,1620950400,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,42001009086.4425,9830.997444973267,20314979.66047528,209515878.85874203,100519232.33511168,23.539810220376722,0,96,0,13410.992958484272,0.0,315692.2291095283,0.0,4.772907931595062e-09,0.0,,,0.0010958904109589042,0.0039183676623310015,0.0,0.002822477251372097,0.002822477251372097
332,1621036800,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,41921972902.672485,9835.493203434033,20300453.888683964,187367935.08731613,58906045.88124805,13.840486719712056,0,107,0,12856.225768778608,0.0,177936.42201840022,0.0,5.3370924941558745e-09,0.0,,,0.0010958904109589042,0.004180681333168956,0.0,0.003084790922210052,0.003084790922210052
331,1621123200,M2,wPE,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,41831952771.80913,9842.59341657652,20285895.82139779,184874442.80806005,94317114.65961304,22.209444340581843,0,97,0,13499.228795542562,0.0,299810.3705753822,0.0,5.409076478127471e-09,0.0,,,0.0010958904109589042,0.004443131550849189,0.0,0.003347241139890284,0.003347241139890284
