date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,1710.58265239212310923,167026456737.696989616541692977,13383385.98454368767066611,10400832.82083585934180409755773451,1095.685975560721708655,100440530359.454611494148776017,3329776.106368963756527132365196316,602
1650067200,1818.833236092180075855,156943559721.276547265763412366,13389764.448783715017883411,11160639.60883156187604022820318954,2719.707912023224010628,233895300371.484577737705166866,8264918.757172660998783652381889565,1477
1649980800,1820.668493486717311623,156084923483.249352057723189692,13389764.448783715017883411,11056381.48817550995571526701922029,8441.40524977325913052,820396729472.349163916153773207,25555698.0943592671801042812515671,2814
1649894400,1406.852601330399073013,194303395217.485213592247846513,13229926.93085639843390052,8503430.758820904290493091661573014,5092.538235865216513802,763194695690.872970191901592409,15731413.97677267004070951338568659,2141
1649808000,1531.781903581663708493,176325068353.852600962368458339,13225299.726932900828173062,9554332.800030498414408409978292711,2759.140364391618684809,313922937823.227354107438159978,8448743.018930880216165624646204235,1137
1649721600,1585.836591190332080016,169092457710.966194093985152633,13213158.269940133568110486,9595744.30505835785732785952838074,6078.385197944688253462,627864665387.828083256951363653,18314341.39307588945390609080743437,1734
1649635200,1693.464147076565254358,171242244000.67316806514978408,13816987.688981808693003166,10107466.18139418836375098318217776,6718.32558408410159993,653675657174.949706703529233381,20706297.52730241676783082148927677,2292
1649548800,1893.561291978975993146,151077822667.502103891594199701,13803665.016236052979508526,12146408.40244732487135378809645091,4845.846515108451080596,389206734390.749520561816443725,15775752.15831093699825779349215571,1826
1649462400,2002.810421918323960381,141957677827.146858296408298182,13814086.936344334750224171,13051331.32953842143221744957732664,4851.047286757296961386,352167949784.956256426243873052,15596727.49741514166929336639010047,1934
1649376000,2122.768636169463859152,131197434693.671676005063859013,13722794.839842407341617794,13517096.64735861883610550032026236,11016.822575213337404218,752896062758.65879690942366397,35900855.49171677141176261807725642,2732
1649289600,1759.082155644186094635,152733855156.412560501320923091,13592211.551463663882516221,11390826.67651162671210383576531754,5687.760094048649577532,509237536447.964775293647752458,18292363.0515644628410440901952426,1716
1649203200,1681.72679219673394301,150320523547.293127035208992639,13251517.577350785261907106,10665044.30080347162920218737222887,11535.286502280441803815,1093071655840.741671717945592901,38084267.63880204229047124956837137,3277
1649116800,1619.718984291652348826,153054012125.774857026509618608,13262300.214639271456400003,11046484.03049127462865074525586653,9720.276454080042657404,887507374319.887954320660243435,33768388.21046773546813828099806736,3502
1649030400,1740.677249125773617278,139935674708.762099519077352183,13263016.150384645231021463,12280866.40872862152318927528864575,10023.656896032585240009,693863293990.528834044587294041,34855655.17211858355416375717546871,3527
1648944000,1965.873315645318035709,121397250885.151549822330022484,13233619.906728417141703213,13856272.69749615498477273303919207,17515.762266362137201365,1123295775816.387305373490585252,60967695.98601229568104610539186222,6312
1648857600,1654.51716965035279909,126953157156.971501139924759993,12591955.069676895780871007,11415395.51784420105649250122289341,20852.179993158506021614,1271704902763.65787866637490551,72584487.01971649064041846064680183,9750
1648771200,1478.280926767767918091,129305504051.429637921614223312,12219545.739807034145718041,10194749.99452419789613508537192325,18851.059784024310698869,1850749902853.004934225567728433,63036774.83273340374453610702825928,8256
1648684800,1069.429432290209591505,170007531924.979678284877031684,12162216.514740454927196484,7008670.466299539406649032124533524,6293.597480410547306038,1185037131989.647850371025791132,21276226.39733697851226663446163929,2627
1648598400,884.896504594791428593,203378015941.298098118113458214,12216247.420132133960984443,5989319.080164068139511167593863654,5102.438961991863249475,1269604575810.646041082339245539,17289137.93885948198647903234100949,2435
1648512000,878.932002384308363341,201101191412.032449969585970458,12216268.377493914444802977,5969484.322731397499307733165329281,8229.575842646073838109,1843971799210.586281708551412926,28120063.79820553579916858415511346,4046
1648425600,750.093017147269326503,222550521609.315397797994263,12041125.917283492222365244,4995508.954722674509048027865062279,6007.900031864326495861,2095872953752.30173367334389557,20203635.43099025197609949815097807,3188
1648339200,576.759800900710413607,283597004618.951530371619741695,12073962.697062573990947867,3797253.91125623429429448409882343,5413.562926429715354272,3943212906122.791956286117261595,17174412.771514682498916520747829,3987
1648252800,256.567199144246811745,612777343183.435047098729743054,12037811.602798959642946787,1612218.189341682132503173803603718,878.002085958559558948,2087079483603.665619568041513218,2743907.324569785882674661569041768,803
1648166400,214.737699087967844735,724756023990.398895944911026006,12037811.602798959642946787,1331908.372946755737504476406087986,1840.434413643804507169,6327480673914.965413523954500618,5737510.615590518981932867308426918,1165
1648080000,95.807254491703489801,1573289673832.531391428325328376,11991903.07448851892955561,596584.0793897572035243037372108163,3.160258005164022952,52184476936.667977740291092952,9695.487281844430066229182791889471,7
1647993600,94.447912572705047251,1595775200135.574299595859991316,11991903.07448851892955561,568187.377280222877012927785146085,0.154027128772042131,2605986162.659317201625494418,460.9259671399856590085035485794711,2
1647907200,94.601939701477089382,1593169213972.914982394234496898,11991903.07448851892955561,569187.5241450026867150884538400073,19.174027081966464571,311781289898.11530618501846208,57789.42916085300979536881624124815,7
1647820800,92.222223336153247309,1633326917685.821697199195315316,11991903.07448851892955561,533880.7628917079499440555963236736,0.792552992990518039,14064640128.091004024870412503,2304.331067798454653105205928973245,5
1647734400,91.867256329143765348,1639595651411.813676824480346805,11991903.07448851892955561,527123.4470020305816470612030266624,0.259593810547687859,4638615968.653240367678054253,753.8831544511244631563725007491137,3
1647648000,91.986850139691453207,1637450081207.00647650743294036,11991903.07448851892955561,545578.6761288005959181921098419733,0.20764492405965874,3693510364.257192895780047951,613.3237812369898247348806921751867,3
1647561600,91.779205215631794467,1641143591571.263669403212988311,11991903.07448851892955561,539271.8672528469329525560259544727,0.45370023698278794,8092194156.376875007668009866,1296.423034015325440808396548061255,4
1647475200,91.797231477998114349,1640797000098.360560573517277263,11991903.07448851892955561,516244.939258673049682112709128966,0.820738463978954761,14708201159.737542829671934854,2291.409020766916721314495015444536,5
1647388800,91.83796994197706911,1640025107836.864284638297324257,11991903.07448851892955561,490721.1771404982794425605908301818,3.090395807923531681,53548426420.98033655527284904,8275.836746479891444458678785411778,5
1647302400,94.928365749900600791,1586476681415.883948083024475217,11991903.07448851892955561,492995.9313915856078274059935895204,0.488381022013195813,8183430088.459021542463454738,1251.724116485360997814754017859756,2
1647216000,94.916746771913796604,1586646359446.917878819990883555,11991903.07448851892955561,485869.3889331968682851806742789531,5.154004492502099869,82803041753.771582906799837111,13121.38663438525750241933474598684,13
1647129600,98.570751264415896473,1527586174733.304283399417796978,11991903.07448851892955561,505565.4612643416279136909967564897,0.393393823353007173,6105476720.810766146996319669,1010.206313801318309055117931898976,5
1647043200,98.246603860105266388,1532607802373.771909232519332445,11991903.07448851892955561,507599.8344905420395299607045337226,1.744054512750871718,27537546207.753929367896100465,4511.400978116169295518509210371339,7
1646956800,97.804908052402725344,1539446763417.697089501801581788,11991903.07448851892955561,503310.0806316781266881693887811653,0.541835693605662009,8555219608.205864829806681626,1401.564001529357426241409585873561,4
1646870400,97.466743746008387353,1544762199459.256930139483334656,11991903.07448851892955561,507107.9987446941169297247515348849,2.402355139993877782,37499709255.810075651236930586,6270.568131312446899609652191143183,5
1646784000,99.532073886002265135,1512597238874.46374976139060189,11991903.07448851892955561,540667.5673671783124917932155721719,5.692314645471038629,86914225927.737402569781240689,15574.57730078362145645974815498035,9
1646697600,97.683100367880455928,1540964082440.281836295121248515,11991903.07448851892955561,503734.721707742682359689588494321,1.122011448686507937,17552876789.261966121778754765,2905.510464790788861120273436408244,6
1646611200,98.413111816566963865,1529480981160.669084939401660876,11991903.07448851892955561,507704.4244606916639055228134051803,1.445439909989863474,22323875610.699967293161734878,3669.238898562822356829790955117124,6
1646524800,99.379251726556827339,1514545286648.124964450686202164,11991903.07448851892955561,524885.6229143930168804441859109268,0.013823331387538213,210065548.467856638154082266,36.50494333597988198413601239632728,1
1646438400,99.365428395169289126,1514755352196.59282108884028443,11991903.07448851892955561,529438.7683490642960663600756572282,0.668320719390171067,10146037038.401586713009893941,1771.634207392567507909532720683287,4
1646352000,99.915780163091457725,1506381496780.049142236467191569,11991903.07448851892955561,540319.8734666817634521948646474286,0.288782080718534907,4354310257.987398626896105138,788.2533286342257033023756642944628,2
1646265600,100.204562243809992632,1502027186522.061743609571086431,11991903.07448851892955561,562434.168525316208065458725581338,5.404844115500807169,79318868807.579985878475015098,15728.72927919418090261494046707698,10
1646179200,101.680319869500920871,1479991063002.044423854598665693,11991903.07448851892955561,597164.7192536338727609497305366029,13.341711595436734658,172131474447.942399823314996138,39714.08789612512822907055186791283,6
1646092800,115.022031464937655529,1307859588554.102024031283669555,11991903.07448851892955561,680471.706938443274244343683761502,10.275630838156475825,107594924987.528720186538427879,29989.52052351754798696685439658622,13
1646006400,125.141662303094131354,1201790926123.532078894171760738,11991903.07448851892955561,653613.6998146550332220931261264484,0.27546185080494272,2647497234.890173084086774063,719.3673000217110272681832106291301,1
1645920000,125.417124153899074074,1199143428888.641905810084986675,11991903.07448851892955561,654635.940910804352175161113132823,6.800090577369039459,62038638491.987985544180646676,18628.46311571867359550760907771444,8
1645833600,132.017214731268113533,1139012823327.785907420466057473,11991903.07448851892955561,735335.5323805439340244221689993269,1.146222855560899055,9889742612.700371049754971749,3176.265049868010604455950291053321,7
1645747200,132.444674626032567314,1135307118591.418886916217377372,11991903.07448851892955561,714293.2029071178360086158631270132,22.074684128144368963,182732803944.131392217900834526,58240.13641442788680143209798326859,12
1645660800,129.839452119397761491,1157525236967.909688261049027386,11991903.07448851892955561,634139.4825637667309470089402316453,11.684332452257403887,97672591587.102216792447245269,27979.83861940606262388254589626081,17
1645574400,140.146992071655165378,1072113158421.617587650874616995,11991903.07448851892955561,754431.6301351639715443209627658763,8.085975782021703242,59523714139.985441694885039162,21802.57760688919711818734632378187,13
1645488000,142.779354641638779142,1052168875474.660787595992052137,11991903.07448851892955561,748921.2754661440988561363424968808,11.604765843295995373,85898103770.66782466604621778,29996.84066902422245970728165323344,14
1645401600,147.091506891732693647,1021076701413.054902849661082315,11991903.07448851892955561,774638.777853226366062374922455955,20.49832166378577015,141156437191.132714795518092883,55216.83945498451044348686051849632,16
1645315200,147.727227142807044741,1016262955100.709473170179085994,11991903.07448851892955561,778066.6140777897557345565277262461,37.085272168309395642,300840885317.432808094583049231,97262.22636967354955044893820342368,22
1645228800,141.694626311514874165,1058681782766.685535388597830263,11991903.07448851892955561,779825.4649824111631950406654704898,12.621431653787230489,95937556517.372115818058560543,35297.25452487505901724010389854121,28
1645142400,140.846885374643620074,1064768168291.890771599454023218,11991903.07448851892955561,780673.5593924849408285940481946792,40.225911763580254013,325797825648.271253285779301406,114347.8663895474536220802291693343,54
1645056000,124.153060170755064473,1206888121420.33977191400141621,11991903.07448851892955561,716369.4237332396945668820362263566,17.210280756838418127,181248142627.465938290864534573,51481.99287992223802824981286651483,30
1644969600,118.82130132110341872,1260500205590.904644562837938657,11991903.07448851892955561,746265.6240334090475576664600374334,9.321330389787234597,92569240938.998453412174426187,29284.34048721359404132874809336034,9
1644883200,124.605413911924655597,1201718392177.103962677569016784,11991903.07448851892955561,787911.5018100181614918229079861409,22.476179319854705214,256134708104.231817035394565975,69796.19032657123112404072085807995,23
1644796800,108.890178544231390845,1374355453331.939709831662458643,11991903.07448851892955561,639575.4621734413570113232247168926,13.116053875903766659,149525354995.994133964661865389,37538.6163808917586872749212174049,17
1644710400,121.285428416200124854,1233478431756.751356941950759268,11991903.07448851892955561,702891.3038764564570398809102551741,6.091337360148173143,59293491097.520866902786175795,17738.71092952801407227603223589626,10
1644624000,126.950916666167869625,1178258557524.095737747911020711,11991903.07448851892955561,738721.6315326201658884799493769186,54.883305250558591996,549839615458.212780095381761061,161430.5168498539758839282041105292,38
1644537600,123.255239107615954519,1211969210861.387171375319577526,11991903.07448851892955561,721503.5676740903214845691287245666,32.791659049716867671,316404337930.328306209915957414,97242.79637744533054510487854798874,28
