,Unnamed: 0,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,0,1651104000,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43503002.616760045,43565843.089397,38.70096373374423,87003881.91242562,30055.329471105677,30029.173764,30052.122366686803,8,0.9985232229690344,0.9988601353271728,30010.944450884643,29994.944569672225,90.15636710006041,1.149374002652614e-08,1.0362338451841488e-06,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,1.149374002652614e-08,1.0362338451841488e-06,0.00022021431603697888,0.00022021431603697888
363,1,1651017600,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43472947.28728894,43595872.263161,38.70096373374423,87141719.02368657,267942.89821144275,268504.607307,268219.79119231063,46,1.0026961290658267,1.0005560928180848,268665.30684729246,268653.9207907461,804.6593735769319,1.1475559711281152e-08,1.0270150533908318e-05,1.00247697915847,-7.650323695651551e-07,4.1095890410958905e-05,0.0005206834302871055,1.1475571602644518e-08,1.0270160102405315e-05,0.0004898576904100549,0.0004898576999785519
362,2,1650931200,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43513308.07102055,43542719.62889,38.69567227460501,87253412.18267544,536705.6845381011,538047.518344,537283.7200875165,57,1.000639409300656,0.9996221524605304,537048.8591445098,537844.218413076,1611.8511602625495,1.146086983860735e-08,2.8743366880885632e-05,1.001355395354845,-2.2932616439153009e-07,4.1095890410958905e-05,0.0007812284435796402,1.1460987543575504e-08,2.8743566172272116e-05,0.0007688759200495668,0.0007688761193409534
361,3,1650844800,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,42929615.02020721,42999436.495965,38.19544702638471,85919394.21923073,221317.75166672555,221515.445014,221400.8557751672,37,1.0018093953718163,0.9992444597323462,221718.20298229213,221348.08117538466,664.2025673255016,1.1638815765488453e-08,3.647389819295159e-05,1.0029051517462648,-1.0519306505862858e-06,4.1095890410958905e-05,0.0010419090830434685,1.1639150306559576e-08,3.647431968737639e-05,0.0010372870908254613,0.001037287512319886
360,4,1650758400,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,42982389.87727325,43025355.195863,38.230729786925394,86121261.24779727,116008.50503579738,116162.869341,116100.43242404984,40,0.9995030999001197,1.0003495870485184,115950.86039805812,116203.47837564035,348.3012972721495,1.1611534544561458e-08,4.0518210738142723e-05,0.9994909337935931,-3.241004753462562e-08,4.1095890410958905e-05,0.0013027254192784499,1.1611958067384498e-08,4.051877974611621e-05,0.0013021477396056337,0.0013021483086136073
359,5,1650672000,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43088550.40200488,42968903.379214,38.2529483297822,86084031.20574579,171002.41745264945,170516.986871,170673.09547871462,48,1.0003859817862935,0.9995923446590684,171068.4212711983,170447.4747105825,512.0192864361438,1.1616556357705211e-08,4.64661116352602e-05,1.0011316393188174,-1.5989496160440098e-07,4.1095890410958905e-05,0.001563677522921414,1.1617027046393676e-08,4.646692164492008e-05,0.0015690477441457154,0.0015690485541553752
358,6,1650585600,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43081792.8151988,42975130.970455,38.2529483297822,86082542.07198115,346843.03056604473,345986.139642,346349.2618259429,60,0.9978747509344172,0.999637439276014,346105.90273943037,345860.6986567223,1039.0477854778287,1.1616757311416437e-08,5.853647759412082e-05,0.9985734880179615,-2.547303329381023e-07,4.1095890410958905e-05,0.0018247654646456057,1.1617297106368193e-08,5.853784847652994e-05,0.0018422060518287677,0.0018422074227111768
357,7,1650499200,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43033821.36646272,43021996.917187,38.2529483297822,86161553.49915382,347253.2059940013,347415.628331,347321.81509491254,81,0.9995426068089984,0.9996250337056206,347094.37474202615,347285.35918023525,1041.9654452847376,1.1606104572033057e-08,7.062963751254048e-05,1.0002549250007513,-8.121274097661058e-09,4.1095890410958905e-05,0.002085989315161463,1.1606783968423897e-08,7.06317163025125e-05,0.0021155230622630443,0.002115525141053016
356,8,1650412800,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43003288.04360396,43051499.641046,38.2529483297822,86173770.99798153,155093.66399909332,155277.371782,155225.8896169256,35,1.0005967019597917,1.0006132837416306,155186.20869235284,155372.60086955703,465.6776688507768,1.160445908794479e-08,7.603357496888882e-05,1.000320833428244,-1.2862634179988675e-08,4.1095890410958905e-05,0.002347349145215949,1.1605278730806936e-08,7.603603544823818e-05,0.002382286829773879,0.0023822892902532282
355,9,1650326400,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,43044994.98018679,43009107.335439,38.25285356371943,86079674.64228685,144415.8639153769,144343.415028,144394.0515570871,61,1.0011278748021628,1.0000758712824802,144578.7469293196,144354.36654801574,433.18215467126134,1.1617144281220918e-08,8.106591455975502e-05,1.0013896892775511,-2.410694370791333e-07,4.1095890410958905e-05,0.0026088450255929985,1.1618027602815292e-08,8.10687576782559e-05,0.0026488150497417946,0.002648817892860295
