,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,60694.36230986921,167041235.394425,2.0543124044946586,334765937.1107861,42119.553522474154,115002408.857055,115069368.71884586,11726,2757.8009255758457,1.0020458012068765,116157343.68912059,115237680.92388846,345208.1061565376,2.987161742411875e-09,0.0010311924478812664,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,2.987161742411875e-09,0.0010311924478812664,0.0012503705300730612,0.0012503705300730612
363,1619740800,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,61355.3047895892,170454321.559281,2.084853827239345,340127718.4192413,31497.898071052346,86854377.731466,86860939.4860529,11391,2771.787375074326,0.9977092845397612,87305476.21472086,86655419.0656071,260582.8184581587,2.9400720548373547e-09,0.0017973247104008543,1.009440111793499,-1.1035106804890837e-05,4.1095890410958905e-05,0.0005206834302871055,2.9431038349365297e-09,0.0017981147402040428,0.002276912250277001,0.0022777022800801894
362,1619827200,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,57982.886203992224,170567477.943613,2.025733269560853,341219440.9688354,33074.27972873599,94881353.289733,94835813.66470791,11253,2942.415109937576,1.0002476588228542,97318260.42413485,94904851.49399954,284507.44099412375,2.9306653722914136e-09,0.0026311208158815757,1.0688605743482513,-0.0005540757864221924,4.1095890410958905e-05,0.0007812284435796402,2.935935044895936e-09,0.0026334101067523536,0.0033712533690502568,0.0033735426599210347
361,1619913600,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,58611.35722206945,172716534.351249,2.047374737231745,345460077.2511397,39805.51606338111,116615921.731019,116542107.81404483,13246,2947.0404169472176,1.0000781875016864,117308464.65622583,116625039.63859601,349626.3234421345,2.8946904891502944e-09,0.003643180809106107,1.0707221733560328,-0.0005833970582639347,4.1095890410958905e-05,0.0010419090830434685,2.9023133963403428e-09,0.003648135268991682,0.0046439940017386164,0.004648948461624191
360,1620000000,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,55113.38590149392,188838698.490005,2.072784503540333,377619940.5479373,57828.599937644976,184382817.062088,184351935.81913444,13144,3425.722822756164,0.9998478690212012,198104754.61442608,184354766.72365466,553055.8074574034,2.6481652387026266e-09,0.005107763973477415,1.244924331924391,-0.005969371739192764,4.1095890410958905e-05,0.0013027254192784499,2.6578261037080556e-09,0.005118061430859305,0.006369393502344906,0.006379690959726796
359,1620086400,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,57469.34647406923,186431607.87538,2.09851571337462,372973941.6941477,81260.05487033738,270905821.863626,271012397.28702796,14707,3244.9815821590846,1.0002969612949475,263687381.41948143,270986270.40729547,813037.1918610838,2.6811524565435636e-09,0.007287640637697041,1.178712654918521,-0.0033698694829354947,4.1095890410958905e-05,0.001563677522921414,2.694874759521653e-09,0.007309094837758103,0.008810222270207497,0.008831676470268559
358,1620172800,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,50755.833181203205,178406608.720499,1.926445621199856,357138979.65328056,54016.99012072903,180652023.561094,180757166.680144,12707,3518.206256000764,1.0009129768639706,190042912.57308033,180816954.67903474,542271.5000404321,2.8000303998483307e-09,0.008806017322781606,1.2771727276131548,-0.007435267612222574,4.1095890410958905e-05,0.0018247654646456057,2.820496087589428e-09,0.008838569482033392,0.010589686897016254,0.01062223905626804
357,1620259200,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,47139.872214563795,164697246.333009,1.782052873458776,329614442.8353702,31862.803713490932,111133556.512439,111151178.08639908,9603,3496.1161999898522,1.0006677408828908,111396064.23983248,111207764.9315834,333453.53425919724,3.0338476414987124e-09,0.009817664541243281,1.2694646707856159,-0.00707400957031501,4.1095890410958905e-05,0.002085989315161463,3.0606625146760022e-09,0.009859158214726747,0.011862557965993786,0.011904051639477251
356,1620345600,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,44047.93651428341,153491088.600492,1.6613724177498816,306672217.302788,29156.629144444258,101294652.224375,101313507.8149346,9876,3481.118998654381,0.9989903000199484,101497695.65144493,101192375.0160447,303940.5234448038,3.26081054487132e-09,0.010808757005105807,1.2661415405646301,-0.006920326887715933,4.1095890410958905e-05,0.002347349145215949,3.2929593919414555e-09,0.010860022015995915,0.013115010259910798,0.013166275270800906
355,1620432000,WETH,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,42240.38190737084,165323811.940482,1.6829064409329269,329999239.44598764,94258.04624279478,346406473.558542,346079668.43844765,11362,3906.092403713436,0.9980390470454136,368180638.41785043,345727186.76072955,1038239.005315343,3.030310014286182e-09,0.013954943060135415,1.4220656284598212,-0.015300065985336064,4.1095890410958905e-05,0.0026088450255929985,3.063219247756623e-09,0.014040375720849565,0.016522692195317455,0.016608124856031605
