,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619395200,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,74118919.52560614,29316.13128895424,1054390.0329209156,148339078.24340153,49358938.73442011,20003.089240013574,49408763.66599709,3019,1.0007393238189355,2531.474976974758,49395430.97350385,50637319.873287395,1482.2629099799126,6.741311944511037e-09,9.992396659953273e-06,1.0,0.0,0.0,0.00026027397260275364,9.992396659885827e-06,0.0002702663692627069,0.00027026636926263947
363,1619481600,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,76973362.0450412,28989.72484266073,1067865.557591759,154097176.7148746,30178118.286675654,11652.11617122921,30184969.243538756,2747,1.0009773031916167,2657.7895711536407,30207611.457994208,30968872.841763686,905.5490773061626,6.489411560409677e-09,1.58688773107422e-05,0.9527003184207461,-0.00029341273714333926,0.0,0.0005206834302871055,1.5868936030782876e-05,0.0005365523075978477,0.0005365523663178884
362,1619568000,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,78213489.51146638,28560.912662853927,1067311.5325339227,156721080.4906878,54551531.753655136,20397.281627425087,54682716.02909616,2723,1.0018801198462823,2743.605544510616,54654095.17115028,55962094.965947986,1640.4814808728847,6.380762542403598e-09,2.6336400095402687e-05,0.9237336413498521,-0.0007861707760702386,0.0,0.0007812284435796402,2.633662492379507e-05,0.0008075648436750429,0.0008075650685034352
361,1619654400,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,78818851.38036367,28540.589998009367,1070179.937092764,157404907.02207616,42439852.37277448,15579.421785627575,42590669.6678805,2495,0.9985232229690344,2757.8009255758457,42377178.1735928,42964943.82034022,1277.720090036415,6.3530420932795265e-09,3.445380961083294e-05,0.9158997280214024,-0.0009638925208299565,0.0,0.0010419090830434685,3.4454248224458084e-05,0.0010763628926543014,0.0010763633312679266
360,1619740800,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,79152599.30018103,28639.87750555907,1073717.9116369348,158688615.85751772,28799530.027342167,10473.563769600816,28854785.498552408,2706,1.0026961290658267,2771.787375074326,28877177.27733103,29030491.82861541,865.6435649565723,6.301649268261772e-09,3.9908791748517034e-05,0.9150863964854553,-0.0009834706764154655,0.0,0.0013027254192784499,3.9909418309447275e-05,0.0013426342110269668,0.0013426348375878971
359,1619827200,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,81570270.01805805,27735.4520918006,1071965.6151052597,163245655.45443895,34033865.72162808,11847.778358219895,34072279.142729215,2703,1.000639409300656,2942.415109937576,34055627.291907765,34861082.06041762,1022.1683742818765,6.125737295833242e-09,4.617032668147676e-05,0.8602532743197601,-0.0028256811455088515,0.0,0.001563677522921414,4.6171203136768924e-05,0.0016098478496028906,0.0016098487260581829
358,1619913600,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,81880642.73080419,27834.44820085012,1075040.0700635386,164057594.3736053,44290283.281195134,15164.545082422412,44440810.93575576,3165,1.0018093953718163,2947.0404169472176,44370421.914780565,44690527.26251702,1333.2243280726727,6.095420354163664e-09,5.42968893874771e-05,0.8599073906542752,-0.002840763736957519,0.0,0.0018247654646456057,5.42981410560639e-05,0.001879062354033083,0.0018790636057016696
357,1620000000,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,89276395.6767859,26047.701945546563,1084433.9408821943,178464068.4537143,77785078.36966935,24370.90756538772,77799771.0902425,3692,0.9995030999001197,3425.722822756164,77746426.95645826,83487974.25802957,2333.9931327072754,5.603368838693464e-09,6.737511377701359e-05,0.7380479828214773,-0.01142293072768874,0.0,0.002085989315161463,6.737707556880856e-05,0.0021533644289384764,0.0021533663907302714
356,1620086400,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,87278909.43095927,26907.008701992843,1087990.4242975707,174625195.00065437,96290443.93961337,28944.219025046743,96424197.83153848,3724,1.0003859817862935,3244.9815821590846,96327610.29716818,93923457.64625525,2892.7259349461547,5.7265505129214185e-09,8.394045496352059e-05,0.7798445375447381,-0.007679546910127177,0.0,0.002347349145215949,8.394353287966005e-05,0.0024312896001794696,0.002431292678095609
355,1620172800,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,85560461.26333283,24276.0590514145,1022307.9086325716,170757247.94596422,51693085.51997651,15469.729957076011,51744431.30973424,2721,0.9978747509344172,3518.206256000764,51583224.83827809,54425700.71362725,1552.3329392920273,5.85626678825632e-09,9.303133080021281e-05,0.717476053431569,-0.013622833014633295,0.0,0.0026088450255929985,9.303517183667509e-05,0.002701876356393211,0.0027018801974296736
